code,title,noc1d,noc2d,noc3d,noc4d,Level,Hierarchical_structure
5212,Technical occupations related to museums and art galleries,5,52,521,5212,4,Unit group
522,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5,52,522,NA,3,Minor group
5221,Photographers,5,52,522,5221,4,Unit group
5222,Film and video camera operators,5,52,522,5222,4,Unit group
5223,Graphic arts technicians,5,52,522,5223,4,Unit group
5224,Broadcast technicians,5,52,522,5224,4,Unit group
5225,Audio and video recording technicians,5,52,522,5225,4,Unit group
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5,52,522,5226,4,Unit group
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",5,52,522,5227,4,Unit group
523,"Announcers and other performers, n.e.c.",5,52,523,NA,3,Minor group
5231,Announcers and other broadcasters,5,52,523,5231,4,Unit group
5232,"Other performers, n.e.c.",5,52,523,5232,4,Unit group
524,Creative designers and craftspersons,5,52,524,NA,3,Minor group
5241,Graphic designers and illustrators,5,52,524,5241,4,Unit group
5242,Interior designers and interior decorators,5,52,524,5242,4,Unit group
5243,"Theatre, fashion, exhibit and other creative designers",5,52,524,5243,4,Unit group
5244,Artisans and craftspersons,5,52,524,5244,4,Unit group
5245,"Patternmakers - textile, leather and fur products",5,52,524,5245,4,Unit group
525,"Athletes, coaches, referees and related occupations",5,52,525,NA,3,Minor group
5251,Athletes,5,52,525,5251,4,Unit group
5252,Coaches,5,52,525,5252,4,Unit group
5253,Sports officials and referees,5,52,525,5253,4,Unit group
5254,"Program leaders and instructors in recreation, sport and fitness",5,52,525,5254,4,Unit group
6,Sales and service occupations,6,NA,NA,NA,1,Broad occupational category
62,Retail sales supervisors and specialized sales occupations,6,62,NA,NA,2,Major group
621,Retail sales supervisors,6,62,621,NA,3,Minor group
6211,Retail sales supervisors,6,62,621,6211,4,Unit group
622,Technical sales specialists in wholesale trade and retail and wholesale buyers,6,62,622,NA,3,Minor group
6221,Technical sales specialists - wholesale trade,6,62,622,6221,4,Unit group
6222,Retail and wholesale buyers,6,62,622,6222,4,Unit group
623,"Insurance, real estate and financial sales occupations",6,62,623,NA,3,Minor group
6231,Insurance agents and brokers,6,62,623,6231,4,Unit group
6232,Real estate agents and salespersons,6,62,623,6232,4,Unit group
6235,Financial sales representatives,6,62,623,6235,4,Unit group
63,Service supervisors and specialized service occupations,6,63,NA,NA,2,Major group
631,Service supervisors,6,63,631,NA,3,Minor group
6311,Food service supervisors,6,63,631,6311,4,Unit group
6312,Executive housekeepers,6,63,631,6312,4,Unit group
6313,"Accommodation, travel, tourism and related services supervisors",6,63,631,6313,4,Unit group
6314,Customer and information services supervisors,6,63,631,6314,4,Unit group
6315,Cleaning supervisors,6,63,631,6315,4,Unit group
6316,Other services supervisors,6,63,631,6316,4,Unit group
632,Chefs and cooks,6,63,632,NA,3,Minor group
6321,Chefs,6,63,632,6321,4,Unit group
6322,Cooks,6,63,632,6322,4,Unit group
633,Butchers and bakers,6,63,633,NA,3,Minor group
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",6,63,633,6331,4,Unit group
6332,Bakers,6,63,633,6332,4,Unit group
634,Specialized occupations in personal and customer services,6,63,634,NA,3,Minor group
6341,Hairstylists and barbers,6,63,634,6341,4,Unit group
6342,"Tailors, dressmakers, furriers and milliners",6,63,634,6342,4,Unit group
6343,Shoe repairers and shoemakers,6,63,634,6343,4,Unit group
6344,"Jewellers, jewellery and watch repairers and related occupations",6,63,634,6344,4,Unit group
6345,Upholsterers,6,63,634,6345,4,Unit group
6346,Funeral directors and embalmers,6,63,634,6346,4,Unit group
64,Sales representatives and salespersons - wholesale and retail trade,6,64,NA,NA,2,Major group
641,Sales and account representatives - wholesale trade (non-technical),6,64,641,NA,3,Minor group
6411,Sales and account representatives - wholesale trade (non-technical),6,64,641,6411,4,Unit group
642,Retail salespersons,6,64,642,NA,3,Minor group
6421,Retail salespersons,6,64,642,6421,4,Unit group
65,Service representatives and other customer and personal services occupations,6,65,NA,NA,2,Major group
651,Occupations in food and beverage service,6,65,651,NA,3,Minor group
6511,Maîtres d'hôtel and hosts/hostesses,6,65,651,6511,4,Unit group
6512,Bartenders,6,65,651,6512,4,Unit group
6513,Food and beverage servers,6,65,651,6513,4,Unit group
652,Occupations in travel and accommodation,6,65,652,NA,3,Minor group
6521,Travel counsellors,6,65,652,6521,4,Unit group
6522,Pursers and flight attendants,6,65,652,6522,4,Unit group
6523,Airline ticket and service agents,6,65,652,6523,4,Unit group
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",6,65,652,6524,4,Unit group
6525,Hotel front desk clerks,6,65,652,6525,4,Unit group
653,Tourism and amusement services occupations,6,65,653,NA,3,Minor group
6531,Tour and travel guides,6,65,653,6531,4,Unit group
6532,Outdoor sport and recreational guides,6,65,653,6532,4,Unit group
6533,Casino occupations,6,65,653,6533,4,Unit group
654,Security guards and related security service occupations,6,65,654,NA,3,Minor group
6541,Security guards and related security service occupations,6,65,654,6541,4,Unit group
655,Customer and information services representatives,6,65,655,NA,3,Minor group
6551,Customer services representatives - financial institutions,6,65,655,6551,4,Unit group
6552,Other customer and information services representatives,6,65,655,6552,4,Unit group
656,Other occupations in personal service,6,65,656,NA,3,Minor group
6561,"Image, social and other personal consultants",6,65,656,6561,4,Unit group
6562,"Estheticians, electrologists and related occupations",6,65,656,6562,4,Unit group
6563,Pet groomers and animal care workers,6,65,656,6563,4,Unit group
6564,Other personal service occupations,6,65,656,6564,4,Unit group
66,Sales support occupations,6,66,NA,NA,2,Major group
661,Cashiers,6,66,661,NA,3,Minor group
6611,Cashiers,6,66,661,6611,4,Unit group
662,Other sales support and related occupations,6,66,662,NA,3,Minor group
6621,Service station attendants,6,66,662,6621,4,Unit group
6622,"Store shelf stockers, clerks and order fillers",6,66,662,6622,4,Unit group
6623,Other sales related occupations,6,66,662,6623,4,Unit group
67,"Service support and other service occupations, n.e.c.",6,67,NA,NA,2,Major group
671,"Food counter attendants, kitchen helpers and related support occupations",6,67,671,NA,3,Minor group
6711,"Food counter attendants, kitchen helpers and related support occupations",6,67,671,6711,4,Unit group
672,"Support occupations in accommodation, travel and amusement services",6,67,672,NA,3,Minor group
6721,"Support occupations in accommodation, travel and facilities set-up services",6,67,672,6721,4,Unit group
6722,"Operators and attendants in amusement, recreation and sport",6,67,672,6722,4,Unit group
673,Cleaners,6,67,673,NA,3,Minor group
6731,Light duty cleaners,6,67,673,6731,4,Unit group
6732,Specialized cleaners,6,67,673,6732,4,Unit group
6733,"Janitors, caretakers and building superintendents",6,67,673,6733,4,Unit group
674,"Other service support and related occupations, n.e.c.",6,67,674,NA,3,Minor group
6741,"Dry cleaning, laundry and related occupations",6,67,674,6741,4,Unit group
6742,"Other service support occupations, n.e.c.",6,67,674,6742,4,Unit group
7,"Trades, transport and equipment operators and related occupations",7,NA,NA,NA,1,Broad occupational category
72,"Industrial, electrical and construction trades",7,72,NA,NA,2,Major group
720,"Contractors and supervisors, industrial, electrical and construction trades and related workers",7,72,720,NA,3,Minor group
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7,72,720,7201,4,Unit group
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",7,72,720,7202,4,Unit group
7203,"Contractors and supervisors, pipefitting trades",7,72,720,7203,4,Unit group
7204,"Contractors and supervisors, carpentry trades",7,72,720,7204,4,Unit group
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7,72,720,7205,4,Unit group
723,"Machining, metal forming, shaping and erecting trades",7,72,723,NA,3,Minor group
7231,Machinists and machining and tooling inspectors,7,72,723,7231,4,Unit group
7232,Tool and die makers,7,72,723,7232,4,Unit group
7233,Sheet metal workers,7,72,723,7233,4,Unit group
7234,Boilermakers,7,72,723,7234,4,Unit group
7235,Structural metal and platework fabricators and fitters,7,72,723,7235,4,Unit group
7236,Ironworkers,7,72,723,7236,4,Unit group
7237,Welders and related machine operators,7,72,723,7237,4,Unit group
724,Electrical trades and electrical power line and telecommunications workers,7,72,724,NA,3,Minor group
7241,Electricians (except industrial and power system),7,72,724,7241,4,Unit group
7242,Industrial electricians,7,72,724,7242,4,Unit group
7243,Power system electricians,7,72,724,7243,4,Unit group
7244,Electrical power line and cable workers,7,72,724,7244,4,Unit group
7245,Telecommunications line and cable workers,7,72,724,7245,4,Unit group
7246,Telecommunications installation and repair workers,7,72,724,7246,4,Unit group
7247,Cable television service and maintenance technicians,7,72,724,7247,4,Unit group
725,"Plumbers, pipefitters and gas fitters",7,72,725,NA,3,Minor group
7251,Plumbers,7,72,725,7251,4,Unit group
7252,"Steamfitters, pipefitters and sprinkler system installers",7,72,725,7252,4,Unit group
7253,Gas fitters,7,72,725,7253,4,Unit group
727,Carpenters and cabinetmakers,7,72,727,NA,3,Minor group
7271,Carpenters,7,72,727,7271,4,Unit group
7272,Cabinetmakers,7,72,727,7272,4,Unit group
728,Masonry and plastering trades,7,72,728,NA,3,Minor group
7281,Bricklayers,7,72,728,7281,4,Unit group
7282,Concrete finishers,7,72,728,7282,4,Unit group
7283,Tilesetters,7,72,728,7283,4,Unit group
7284,"Plasterers, drywall installers and finishers and lathers",7,72,728,7284,4,Unit group
729,Other construction trades,7,72,729,NA,3,Minor group
7291,Roofers and shinglers,7,72,729,7291,4,Unit group
7292,Glaziers,7,72,729,7292,4,Unit group
7293,Insulators,7,72,729,7293,4,Unit group
7294,Painters and decorators (except interior decorators),7,72,729,7294,4,Unit group
7295,Floor covering installers,7,72,729,7295,4,Unit group
73,Maintenance and equipment operation trades,7,73,NA,NA,2,Major group
730,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators",7,73,730,NA,3,Minor group
7301,"Contractors and supervisors, mechanic trades",7,73,730,7301,4,Unit group
7302,"Contractors and supervisors, heavy equipment operator crews",7,73,730,7302,4,Unit group
7303,"Supervisors, printing and related occupations",7,73,730,7303,4,Unit group
7304,"Supervisors, railway transport operations",7,73,730,7304,4,Unit group
7305,"Supervisors, motor transport and other ground transit operators",7,73,730,7305,4,Unit group
731,Machinery and transportation equipment mechanics (except motor vehicle),7,73,731,NA,3,Minor group
7311,Construction millwrights and industrial mechanics,7,73,731,7311,4,Unit group
7312,Heavy-duty equipment mechanics,7,73,731,7312,4,Unit group
7313,Refrigeration and air conditioning mechanics,7,73,731,7313,4,Unit group
7314,Railway carmen/women,7,73,731,7314,4,Unit group
7315,Aircraft mechanics and aircraft inspectors,7,73,731,7315,4,Unit group
7316,Machine fitters,7,73,731,7316,4,Unit group
7318,Elevator constructors and mechanics,7,73,731,7318,4,Unit group
732,Automotive service technicians,7,73,732,NA,3,Minor group
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",7,73,732,7321,4,Unit group
7322,Motor vehicle body repairers,7,73,732,7322,4,Unit group
733,Other mechanics and related repairers,7,73,733,NA,3,Minor group
7331,Oil and solid fuel heating mechanics,7,73,733,7331,4,Unit group
7332,Appliance servicers and repairers,7,73,733,7332,4,Unit group
7333,Electrical mechanics,7,73,733,7333,4,Unit group
7334,"Motorcycle, all-terrain vehicle and other related mechanics",7,73,733,7334,4,Unit group
7335,Other small engine and small equipment repairers,7,73,733,7335,4,Unit group
736,Train crew operating occupations,7,73,736,NA,3,Minor group
7361,Railway and yard locomotive engineers,7,73,736,7361,4,Unit group
7362,Railway conductors and brakemen/women,7,73,736,7362,4,Unit group
737,"Crane operators, drillers and blasters",7,73,737,NA,3,Minor group
7371,Crane operators,7,73,737,7371,4,Unit group
7372,"Drillers and blasters - surface mining, quarrying and construction",7,73,737,7372,4,Unit group
7373,Water well drillers,7,73,737,7373,4,Unit group
738,"Printing press operators and other trades and related occupations, n.e.c.",7,73,738,NA,3,Minor group
7381,Printing press operators,7,73,738,7381,4,Unit group
7384,"Other trades and related occupations, n.e.c.",7,73,738,7384,4,Unit group
74,"Other installers, repairers and servicers and material handlers",7,74,NA,NA,2,Major group
744,"Other installers, repairers and servicers",7,74,744,NA,3,Minor group
7441,Residential and commercial installers and servicers,7,74,744,7441,4,Unit group
7442,Waterworks and gas maintenance workers,7,74,744,7442,4,Unit group
7444,Pest controllers and fumigators,7,74,744,7444,4,Unit group
7445,Other repairers and servicers,7,74,744,7445,4,Unit group
745,Longshore workers and material handlers,7,74,745,NA,3,Minor group
7451,Longshore workers,7,74,745,7451,4,Unit group
7452,Material handlers,7,74,745,7452,4,Unit group
75,Transport and heavy equipment operation and related maintenance occupations,7,75,NA,NA,2,Major group
751,Motor vehicle and transit drivers,7,75,751,NA,3,Minor group
7511,Transport truck drivers,7,75,751,7511,4,Unit group
7512,"Bus drivers, subway operators and other transit operators",7,75,751,7512,4,Unit group
7513,Taxi and limousine drivers and chauffeurs,7,75,751,7513,4,Unit group
7514,Delivery and courier service drivers,7,75,751,7514,4,Unit group
752,Heavy equipment operators,7,75,752,NA,3,Minor group
7521,Heavy equipment operators (except crane),7,75,752,7521,4,Unit group
7522,Public works maintenance equipment operators and related workers,7,75,752,7522,4,Unit group
753,Other transport equipment operators and related maintenance workers,7,75,753,NA,3,Minor group
7531,Railway yard and track maintenance workers,7,75,753,7531,4,Unit group
7532,Water transport deck and engine room crew,7,75,753,7532,4,Unit group
7533,Boat and cable ferry operators and related occupations,7,75,753,7533,4,Unit group
7534,Air transport ramp attendants,7,75,753,7534,4,Unit group
7535,Other automotive mechanical installers and servicers,7,75,753,7535,4,Unit group
76,"Trades helpers, construction labourers and related occupations",7,76,NA,NA,2,Major group
761,Trades helpers and labourers,7,76,761,NA,3,Minor group
7611,Construction trades helpers and labourers,7,76,761,7611,4,Unit group
7612,Other trades helpers and labourers,7,76,761,7612,4,Unit group
762,"Public works and other labourers, n.e.c.",7,76,762,NA,3,Minor group
7621,Public works and maintenance labourers,7,76,762,7621,4,Unit group
7622,Railway and motor transport labourers,7,76,762,7622,4,Unit group
8,"Natural resources, agriculture and related production occupations",8,NA,NA,NA,1,Broad occupational category
82,"Supervisors and technical occupations in natural resources, agriculture and related production",8,82,NA,NA,2,Major group
821,"Supervisors, logging and forestry",8,82,821,NA,3,Minor group
8211,"Supervisors, logging and forestry",8,82,821,8211,4,Unit group
822,"Contractors and supervisors, mining, oil and gas",8,82,822,NA,3,Minor group
8221,"Supervisors, mining and quarrying",8,82,822,8221,4,Unit group
8222,"Contractors and supervisors, oil and gas drilling and services",8,82,822,8222,4,Unit group
823,"Underground miners, oil and gas drillers and related occupations",8,82,823,NA,3,Minor group
8231,Underground production and development miners,8,82,823,8231,4,Unit group
8232,"Oil and gas well drillers, servicers, testers and related workers",8,82,823,8232,4,Unit group
824,Logging machinery operators,8,82,824,NA,3,Minor group
8241,Logging machinery operators,8,82,824,8241,4,Unit group
825,"Contractors and supervisors, agriculture, horticulture and related operations and services",8,82,825,NA,3,Minor group
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",8,82,825,8252,4,Unit group
8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",8,82,825,8255,4,Unit group
826,Fishing vessel masters and fishermen/women,8,82,826,NA,3,Minor group
8261,Fishing masters and officers,8,82,826,8261,4,Unit group
8262,Fishermen/women,8,82,826,8262,4,Unit group
84,"Workers in natural resources, agriculture and related production",8,84,NA,NA,2,Major group
841,Mine service workers and operators in oil and gas drilling,8,84,841,NA,3,Minor group
8411,Underground mine service and support workers,8,84,841,8411,4,Unit group
8412,Oil and gas well drilling and related workers and services operators,8,84,841,8412,4,Unit group
842,Logging and forestry workers,8,84,842,NA,3,Minor group
8421,Chain saw and skidder operators,8,84,842,8421,4,Unit group
8422,Silviculture and forestry workers,8,84,842,8422,4,Unit group
843,Agriculture and horticulture workers,8,84,843,NA,3,Minor group
8431,General farm workers,8,84,843,8431,4,Unit group
8432,Nursery and greenhouse workers,8,84,843,8432,4,Unit group
844,Other workers in fishing and trapping and hunting occupations,8,84,844,NA,3,Minor group
8441,Fishing vessel deckhands,8,84,844,8441,4,Unit group
8442,Trappers and hunters,8,84,844,8442,4,Unit group
86,"Harvesting, landscaping and natural resources labourers",8,86,NA,NA,2,Major group
861,"Harvesting, landscaping and natural resources labourers",8,86,861,NA,3,Minor group
8611,Harvesting labourers,8,86,861,8611,4,Unit group
8612,Landscaping and grounds maintenance labourers,8,86,861,8612,4,Unit group
8613,Aquaculture and marine harvest labourers,8,86,861,8613,4,Unit group
8614,Mine labourers,8,86,861,8614,4,Unit group
8615,"Oil and gas drilling, servicing and related labourers",8,86,861,8615,4,Unit group
8616,Logging and forestry labourers,8,86,861,8616,4,Unit group
9,Occupations in manufacturing and utilities,9,NA,NA,NA,1,Broad occupational category
92,"Processing, manufacturing and utilities supervisors and central control operators",9,92,NA,NA,2,Major group
921,"Supervisors, processing and manufacturing occupations",9,92,921,NA,3,Minor group
9211,"Supervisors, mineral and metal processing",9,92,921,9211,4,Unit group
9212,"Supervisors, petroleum, gas and chemical processing and utilities",9,92,921,9212,4,Unit group
9213,"Supervisors, food, beverage and associated products processing",9,92,921,9213,4,Unit group
9214,"Supervisors, plastic and rubber products manufacturing",9,92,921,9214,4,Unit group
9215,"Supervisors, forest products processing",9,92,921,9215,4,Unit group
9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",9,92,921,9217,4,Unit group
922,"Supervisors, assembly and fabrication",9,92,922,NA,3,Minor group
9221,"Supervisors, motor vehicle assembling",9,92,922,9221,4,Unit group
9222,"Supervisors, electronics manufacturing",9,92,922,9222,4,Unit group
9223,"Supervisors, electrical products manufacturing",9,92,922,9223,4,Unit group
9224,"Supervisors, furniture and fixtures manufacturing",9,92,922,9224,4,Unit group
9226,"Supervisors, other mechanical and metal products manufacturing",9,92,922,9226,4,Unit group
9227,"Supervisors, other products manufacturing and assembly",9,92,922,9227,4,Unit group
923,Central control and process operators in processing and manufacturing,9,92,923,NA,3,Minor group
9231,"Central control and process operators, mineral and metal processing",9,92,923,9231,4,Unit group
9232,"Petroleum, gas and chemical process operators",9,92,923,9232,4,Unit group
9235,"Pulping, papermaking and coating control operators",9,92,923,9235,4,Unit group
924,Utilities equipment operators and controllers,9,92,924,NA,3,Minor group
9241,Power engineers and power systems operators,9,92,924,9241,4,Unit group
9243,Water and waste treatment plant operators,9,92,924,9243,4,Unit group
94,Processing and manufacturing machine operators and related production workers,9,94,NA,NA,2,Major group
941,Machine operators and related workers in mineral and metal products processing and manufacturing,9,94,941,NA,3,Minor group
9411,"Machine operators, mineral and metal processing",9,94,941,9411,4,Unit group
9412,Foundry workers,9,94,941,9412,4,Unit group
9413,Glass forming and finishing machine operators and glass cutters,9,94,941,9413,4,Unit group
9414,"Concrete, clay and stone forming operators",9,94,941,9414,4,Unit group
9415,"Inspectors and testers, mineral and metal processing",9,94,941,9415,4,Unit group
9416,Metalworking and forging machine operators,9,94,941,9416,4,Unit group
9417,Machining tool operators,9,94,941,9417,4,Unit group
9418,Other metal products machine operators,9,94,941,9418,4,Unit group
942,"Machine operators and related workers in chemical, plastic and rubber processing",9,94,942,NA,3,Minor group
9421,Chemical plant machine operators,9,94,942,9421,4,Unit group
9422,Plastics processing machine operators,9,94,942,9422,4,Unit group
9423,Rubber processing machine operators and related workers,9,94,942,9423,4,Unit group
943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing,9,94,943,NA,3,Minor group
9431,Sawmill machine operators,9,94,943,9431,4,Unit group
9432,Pulp mill machine operators,9,94,943,9432,4,Unit group
9433,Papermaking and finishing machine operators,9,94,943,9433,4,Unit group
9434,Other wood processing machine operators,9,94,943,9434,4,Unit group
9435,Paper converting machine operators,9,94,943,9435,4,Unit group
9436,Lumber graders and other wood processing inspectors and graders,9,94,943,9436,4,Unit group
9437,Woodworking machine operators,9,94,943,9437,4,Unit group
944,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",9,94,944,NA,3,Minor group
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",9,94,944,9441,4,Unit group
9442,"Weavers, knitters and other fabric making occupations",9,94,944,9442,4,Unit group
9445,"Fabric, fur and leather cutters",9,94,944,9445,4,Unit group
9446,Industrial sewing machine operators,9,94,944,9446,4,Unit group
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",9,94,944,9447,4,Unit group
946,"Machine operators and related workers in food, beverage and associated products processing",9,94,946,NA,3,Minor group
9461,"Process control and machine operators, food, beverage and associated products processing",9,94,946,9461,4,Unit group
9462,"Industrial butchers and meat cutters, poultry preparers and related workers",9,94,946,9462,4,Unit group
9463,Fish and seafood plant workers,9,94,946,9463,4,Unit group
9465,"Testers and graders, food, beverage and associated products processing",9,94,946,9465,4,Unit group
947,Printing equipment operators and related occupations,9,94,947,NA,3,Minor group
9471,Plateless printing equipment operators,9,94,947,9471,4,Unit group
9472,"Camera, platemaking and other prepress occupations",9,94,947,9472,4,Unit group
9473,Binding and finishing machine operators,9,94,947,9473,4,Unit group
9474,Photographic and film processors,9,94,947,9474,4,Unit group
95,Assemblers in manufacturing,9,95,NA,NA,2,Major group
952,"Mechanical, electrical and electronics assemblers",9,95,952,NA,3,Minor group
9521,Aircraft assemblers and aircraft assembly inspectors,9,95,952,9521,4,Unit group
9522,"Motor vehicle assemblers, inspectors and testers",9,95,952,9522,4,Unit group
9523,"Electronics assemblers, fabricators, inspectors and testers",9,95,952,9523,4,Unit group
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",9,95,952,9524,4,Unit group
9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",9,95,952,9525,4,Unit group
9526,Mechanical assemblers and inspectors,9,95,952,9526,4,Unit group
9527,"Machine operators and inspectors, electrical apparatus manufacturing",9,95,952,9527,4,Unit group
953,Other assembly and related occupations,9,95,953,NA,3,Minor group
9531,Boat assemblers and inspectors,9,95,953,9531,4,Unit group
9532,Furniture and fixture assemblers and inspectors,9,95,953,9532,4,Unit group
9533,Other wood products assemblers and inspectors,9,95,953,9533,4,Unit group
9534,Furniture finishers and refinishers,9,95,953,9534,4,Unit group
9535,"Plastic products assemblers, finishers and inspectors",9,95,953,9535,4,Unit group
9536,"Industrial painters, coaters and metal finishing process operators",9,95,953,9536,4,Unit group
9537,"Other products assemblers, finishers and inspectors",9,95,953,9537,4,Unit group
96,"Labourers in processing, manufacturing and utilities",9,96,NA,NA,2,Major group
961,"Labourers in processing, manufacturing and utilities",9,96,961,NA,3,Minor group
9611,Labourers in mineral and metal processing,9,96,961,9611,4,Unit group
9612,Labourers in metal fabrication,9,96,961,9612,4,Unit group
9613,Labourers in chemical products processing and utilities,9,96,961,9613,4,Unit group
9614,"Labourers in wood, pulp and paper processing",9,96,961,9614,4,Unit group
9615,Labourers in rubber and plastic products manufacturing,9,96,961,9615,4,Unit group
9616,Labourers in textile processing,9,96,961,9616,4,Unit group
9617,"Labourers in food, beverage and associated products processing",9,96,961,9617,4,Unit group
9618,Labourers in fish and seafood processing,9,96,961,9618,4,Unit group
9619,"Other labourers in processing, manufacturing and utilities",9,96,961,9619,4,Unit group
